Price,Close,High,Low,Open,Volume
Ticker,005930.KQ,005930.KQ,005930.KQ,005930.KQ,005930.KQ
Date,,,,,
2023-03-22,58583.05078125,58678.93138809329,58007.767140190255,58487.17017440671,8978591
2023-03-23,59733.6171875,59733.6171875,58103.64689506421,58103.64689506421,15381057
2023-03-24,60404.78515625,60692.42699032738,59733.62087673612,60117.14332217262,18278602
2023-03-27,59541.85546875,60213.01970108695,59445.97486413043,60021.258491847824,11039331
2023-03-28,60308.90625,60308.90625,59541.86133744039,59829.50317965024,11614118
2023-03-29,60117.140625,60117.140625,59637.73758971292,59925.379410885165,11216008
2023-03-30,60947.4453125,61429.62446845332,60851.00948130934,61429.62446845332,15684377
2023-03-31,61718.94140625,61718.94140625,61429.63386840821,61718.94140625,14094479
2023-04-03,60851.01953125,61718.94215530903,60754.583684132325,61718.94215530903,11973133
2023-04-04,61333.1953125,61526.06699587264,60561.708579009435,61140.32362912736,11120514
2023-04-05,61622.5078125,61718.943661971825,61140.328565140844,61429.636113556335,9176149
2023-04-06,60079.52734375,61333.19324337881,60079.52734375,61236.75740494583,14992747
2023-04-07,62683.30078125,62876.17247596154,61526.07061298077,61526.07061298077,27476120
2023-04-10,63358.34375,63936.958761415524,62393.98539764079,62490.42123287671,18777166
2023-04-11,63551.21875,63840.526270864946,63069.03954855842,63840.526270864946,16323183
2023-04-12,63647.65625,63840.527935606064,62972.605350378784,63454.784564393936,15021313
2023-04-13,63744.08984375,63744.08984375,63069.03896794629,63261.910646747354,15091022
2023-04-14,62779.73046875,64226.268037154376,62683.29463085637,64226.268037154376,16176490
2023-04-17,62972.6015625,63261.90907350689,62393.986540486214,62683.2940514931,13486618
2023-04-18,63261.9140625,63647.65744092988,62490.427305640245,63551.22159632241,14802060
2023-04-19,63165.48046875,63454.788012881676,62972.60877266221,63165.48046875,10255985
2023-04-20,62972.6015625,62972.6015625,62297.55070348392,62779.72988849541,9501169
2023-04-21,63358.34375,63551.21542047184,63069.036244292234,63454.77958523592,10538622
2023-04-24,62876.1640625,63358.34323475844,62490.42072469326,62972.59989695169,12986581
2023-04-25,61333.1953125,63069.04046285377,61140.32362912736,62972.604621167455,16193271
2023-04-26,61815.375,62008.246684867394,61043.888260530424,61333.195787831515,12664541
2023-04-27,62297.55078125,62683.29412974071,61043.88489865518,61815.37159563661,14779601
2023-04-28,63165.48046875,63551.223860925566,62683.30122853053,62876.17292461832,19699481
2023-05-02,63358.34375,63936.958761415524,62779.728738584476,63647.651255707766,14396948
2023-05-03,63069.04296875,63261.91465978593,62586.86374116017,62779.735432196096,8876749
2023-05-04,62779.73046875,63358.345496111746,62393.98711717549,63261.90965821812,9791064
2023-05-08,63551.21875,63936.96211115326,63069.03954855842,63936.96211115326,9405365
2023-05-09,62972.6015625,63454.78074751148,62779.72988849541,63454.78074751148,9366861
2023-05-10,62297.55078125,63165.4733153541,62008.24326988196,63165.4733153541,13057727
2023-05-11,61911.80859375,62779.73114412968,61911.80859375,62393.98778840538,11648905
2023-05-12,61815.375,62297.554212168485,61333.195787831515,61429.63163026521,8693913
2023-05-15,62201.12109375,62297.556940406976,61622.50601380814,61815.37770712209,8172021
2023-05-16,63069.04296875,63551.222196339826,62972.60712323203,63454.786350821865,12334657
2023-05-17,62683.30078125,63551.22340745192,62490.42908653846,63551.22340745192,10745504
2023-05-18,63840.5234375,63840.5234375,63358.34425745846,63647.65176548339,14431704
2023-05-19,65962.109375,65962.109375,65094.18688322368,65383.49438048245,20349345
2023-05-22,66058.546875,66540.72604927007,65576.36770072993,65962.11104014599,14470308
2023-05-23,65962.109375,66251.41687225876,65672.80187774122,66058.5452074196,8561643
2023-05-24,66058.546875,66251.41854470804,65576.36770072993,65672.80353558394,8192896
2023-05-25,66347.859375,67505.08948037791,66251.42353288516,67408.65363826307,14231160
2023-05-26,67794.3984375,67890.83428165007,67022.91168429943,67312.21921674964,19549511
2023-05-30,69723.109375,69723.109375,68662.31517980636,68758.75101573305,27476897
2023-05-31,68855.1875,69915.98170518207,68469.44415266106,69819.54586834734,25666087
2023-06-01,68373.0,69048.05077574048,68083.69252468264,68373.0,14669296
2023-06-02,69626.6875,69626.6875,69048.07236842105,69144.50822368421,12161798
2023-06-05,69144.5,70108.85843793584,68855.19246861925,70108.85843793584,12686829
2023-06-07,68469.453125,69048.06822183098,68276.58142605633,68758.76067341548,14796613
2023-06-08,68373.0,68373.0,67505.07757404796,67890.82087447109,19165568
2023-06-09,69433.8046875,69723.11220703126,68276.574609375,68565.88212890625,15050209
2023-06-12,68469.453125,69819.55501760563,68276.58142605633,69530.24746919014,12064287
